Sgnyea,Prvcnm,Gdp,Gdp1,Gdp2,Gdp3
2011,西藏自治区,605.83,74.47,208.79,322.57
2010,西藏自治区,507.46,68.72,163.92,274.82
2009,西藏自治区,441.36,63.88,136.63,240.85
2008,西藏自治区,394.85,60.51,115.76,219.64
2007,西藏自治区,341.43,54.89,98.48,188.82
2006,西藏自治区,290.76,50.9,80.1,160.01
2005,西藏自治区,248.8,48.04,63.52,139.65
2004,西藏自治区,220.34,43.33,57.61,110.6
2003,西藏自治区,189.09,40.62,47.99,95.89
2002,西藏自治区,166.5583,39.68,32.93,88.81
2001,西藏自治区,146.0352,37.47,32.18,69.08
2000,西藏自治区,117.464,36.32,27.214,53.93
1999,西藏自治区,105.61,34.19,24,47.42
1998,西藏自治区,91.18,31.31,20.24,39.63
1997,西藏自治区,76.98,29.18,16.95,30.85
1996,西藏自治区,64.76,27.15,11.39,26.22
1995,西藏自治区,55.98,23.48,13.24,19.39
1994,西藏自治区,45.84,21.1,7.92,16.82
1993,西藏自治区,37.28,18.3,5.49,13.63
1992,西藏自治区,33.29,16.59,4.46,12.24
1991,西藏自治区,30.53,15.5,4.17,10.86
1990,西藏自治区,27.7,14.1,3.57,10.03
1989,西藏自治区,21.86,10.04,2.84,8.98
1988,西藏自治区,20.25,9.65,2.41,8.19
1987,西藏自治区,17.71,8.07,2.13,7.51
1986,西藏自治区,16.93,7.95,2.18,6.82
1985,西藏自治区,17.76,8.87,3.08,5.81
1984,西藏自治区,13.68,6.38,2.8,4.5
1983,西藏自治区,10.29,5.5,2.59,2.2
1982,西藏自治区,10.21,5.82,2.09,2.3
1981,西藏自治区,10.4,6.3,1.68,2.42
1980,西藏自治区,8.67,4.64,2.18,1.85
1979,西藏自治区,7.3,3.5,2.02,1.78
1978,西藏自治区,6.65,3.37,1.84,1.44
1977,西藏自治区,37.72,18.07,13.5,6.15
1976,西藏自治区,29.3,16.94,8,4.36
1975,西藏自治区,31.1,16.16,9.46,5.48
1974,西藏自治区,24.48,14.52,5.79,4.17
1973,西藏自治区,28.39,15.62,8.2,4.57
1972,西藏自治区,29.62,13.55,11.9,4.17
1971,西藏自治区,32.29,15.93,12.06,4.3
1970,西藏自治区,28.36,15.15,9.56,3.65
1969,西藏自治区,21.12,13.82,4.33,2.97
1968,西藏自治区,21.38,14.16,4.2,3.02
1967,西藏自治区,23.99,15.91,4.66,3.42
1966,西藏自治区,24.78,14.9,6.04,3.84
1965,西藏自治区,24.41,15.25,5.63,3.53
1964,西藏自治区,19.75,13.07,3.74,2.94
1963,西藏自治区,16.8,11.13,2.97,2.7
1962,西藏自治区,16.52,11.01,2.93,2.58
1961,西藏自治区,18.05,9.19,5.17,3.69
1960,西藏自治区,22.94,8.6,9.49,4.85
1959,西藏自治区,23.51,10.05,9.01,4.45
1958,西藏自治区,20.36,10.5,6.02,3.84
1957,西藏自治区,16.3,9.73,3.49,3.08
1956,西藏自治区,14.65,8.87,3.25,2.53
1955,西藏自治区,11.61,7.28,2.35,1.98
1954,西藏自治区,11.14,7.19,2.19,1.76
1953,西藏自治区,10.01,6.47,1.97,1.57
1952,西藏自治区,8.55,5.85,1.59,1.11
2013,新疆维吾尔自治区,8360.24,1468.29,3765.97,3125.98
2012,新疆维吾尔自治区,7505.31,1320.57,3481.56,2703.18
2011,新疆维吾尔自治区,6610.05,1139.03,3225.9,2245.12
2010,新疆维吾尔自治区,5437.47,1078.63,2592.15,1766.69
2009,新疆维吾尔自治区,4277.05,759.74,1929.59,1587.72
2008,新疆维吾尔自治区,4183.21,691.1,2086.74,1425.57
2007,新疆维吾尔自治区,3523.16,628.72,1647.55,1246.89
2006,新疆维吾尔自治区,3045.26,527.8,1459.3,1058.16
2005,新疆维吾尔自治区,2604.19,509.99,1164.79,929.41
2004,新疆维吾尔自治区,2209.09,444.7,1010.07,745.38
2003,新疆维吾尔自治区,1886.35,412.9,796.84,667.87
2002,新疆维吾尔自治区,1612.65,305,672.1,621.18
2001,新疆维吾尔自治区,1491.6,288.12,630.37,566.99
2000,新疆维吾尔自治区,1364.36,288.18,586.84,489.34
1999,新疆维吾尔自治区,1168.55,268.51,460.71,439.33
1998,新疆维吾尔自治区,1116.67,291.05,430.73,394.89
1997,新疆维吾尔自治区,1050.14,279.73,413.29,357.12
1996,新疆维吾尔自治区,912.15,249.31,336.89,325.95
1995,新疆维吾尔自治区,825.11,240.71,283.97,290.17
1994,新疆维吾尔自治区,673.68,187.69,265.38,220.61
1993,新疆维吾尔自治区,505.63,126.85,205.07,163.33
1992,新疆维吾尔自治区,402.31,114.5,147.64,140.17
1991,新疆维吾尔自治区,335.91,111.86,107.99,116.07
1990,新疆维吾尔自治区,261.44,104.09,83.18,74.17
1989,新疆维吾尔自治区,217.29,78.01,73.83,65.45
1988,新疆维吾尔自治区,192.72,72.27,66.02,54.43
1987,新疆维吾尔自治区,148.51,56.18,50.3,42.03
1986,新疆维吾尔自治区,129.04,46,45.63,37.41
1985,新疆维吾尔自治区,112.24,42.89,40.5,28.85
1984,新疆维吾尔自治区,89.75,36.67,31.65,21.42
1983,新疆维吾尔自治区,78.55,32.84,29.1,16.61
1982,新疆维吾尔自治区,65.24,28.11,23.35,13.78
1981,新疆维吾尔自治区,59.41,25.18,22.39,11.83
1980,新疆维吾尔自治区,53.24,21.53,21.44,10.28
1979,新疆维吾尔自治区,45.63,16.32,21.43,7.88
1978,新疆维吾尔自治区,39.07,13.97,18.35,6.75
1977,新疆维吾尔自治区,35.67,13.1,16.52,6.05
1976,新疆维吾尔自治区,31.78,12.35,14.01,5.42
1975,新疆维吾尔自治区,28.12,11.21,12.2,4.71
1974,新疆维吾尔自治区,25.05,10.25,10.15,4.65
1973,新疆维吾尔自治区,24.67,10.72,9.27,4.67
1972,新疆维吾尔自治区,24.39,10.79,8.97,4.63
1971,新疆维吾尔自治区,26.14,11.41,9.96,4.76
1970,新疆维吾尔自治区,23.08,10.35,8.67,4.06
1969,新疆维吾尔自治区,19.84,9.26,6.9,3.69
1968,新疆维吾尔自治区,19.79,9.21,6.77,3.81
1967,新疆维吾尔自治区,22.45,10.91,7.51,4.03
1966,新疆维吾尔自治区,26.78,13.81,8.17,4.81
1965,新疆维吾尔自治区,24.2,12.48,7.32,4.4
1964,新疆维吾尔自治区,21.55,11.29,6.29,3.97
1963,新疆维吾尔自治区,19.01,9.79,5.66,3.56
1962,新疆维吾尔自治区,17.72,8.26,6.11,3.35
1961,新疆维吾尔自治区,21.46,8.21,9.11,4.13
1960,新疆维吾尔自治区,25.2,9.27,11.06,4.87
1959,新疆维吾尔自治区,21.37,8.73,8.48,4.16
1958,新疆维吾尔自治区,16.9,8.8,4.72,3.39
1957,新疆维吾尔自治区,14.67,7.88,3.82,2.97
1956,新疆维吾尔自治区,14.09,7.51,3.71,2.87
1955,新疆维吾尔自治区,12.31,6.7,3.22,2.4
1954,新疆维吾尔自治区,10.54,6.26,2.7,1.58
1953,新疆维吾尔自治区,8.74,5.51,2.1,1.13
1952,新疆维吾尔自治区,7.91,5.12,1.74,1.05
2013,海南省,3146.46,756.47,871.29,1518.7
2012,海南省,2855.54,711.54,804.47,1339.53
2011,海南省,2522.66,659.23,714.5,1148.93
2010,海南省,2064.5,539.83,571,953.67
2009,海南省,1654.21,462.19,443.43,748.59
2008,海南省,1503.06,437.61,434.4,587.22
2007,海南省,1254.17,361.07,364.26,497.95
2006,海南省,1044.91,344.48,287.86,420.51
2005,海南省,897.99,300.75,220.07,373.75
2004,海南省,798.9,283.84,180.41,305.11
2003,海南省,693.2,248.33,151.16,271.44
2002,海南省,621.974,228.95,125.33,249.85
2001,海南省,558.4137,201.79,111.25,232.92
2000,海南省,518.48,196.56,102.45,219.47
1999,海南省,471.23,176.42,94.95,199.86
1998,海南省,438.92,164,90.63,184.29
1997,海南省,409.86,151.28,82.68,175.9
1996,海南省,389.53,143.54,81.32,164.67
1995,海南省,364.17,128.9,78.48,155.87
1994,海南省,330.95,107.55,83.66,139.74
1993,海南省,258.08,76.82,66.08,117.5
1992,海南省,181.71,53.59,38.27,93.06
1991,海南省,120.52,49.8,24.71,46.01
1990,海南省,102.42,45.71,20.19,36.52
1989,海南省,91.32,42.64,18.29,30.39
1988,海南省,77,38.46,14.19,24.35
1987,海南省,57.28,28.63,10.91,17.74
1986,海南省,235.11,37.9,128.25,68.96
1985,海南省,218.99,42.26,120.06,56.67
1984,海南省,197.42,46.25,103.12,48.06
1983,海南省,155.06,37.79,82.55,34.72
1982,海南省,139.22,37.33,70.25,31.64
1981,海南省,121.71,31.13,64.45,26.13
1980,海南省,108.76,20.63,63.51,24.62
1979,海南省,106.43,22.65,62.73,21.05
1978,海南省,87.99,18.2,51.47,18.32
1977,海南省,75.3,19,39.6,16.7
1976,海南省,64.6,19.1,31.3,14.2
1975,海南省,69.8,20.8,34.7,14.3
1974,海南省,64.4,19.2,30.9,14.3
1973,海南省,66.2,18.7,33.3,14.2
1972,海南省,61.6,15.7,32.2,13.7
1971,海南省,62,18.2,30.7,13.1
1970,海南省,57.7,15.2,30.3,12.2
1969,海南省,45.4,15.7,19.7,10
1968,海南省,36.8,13.7,14.2,8.9
1967,海南省,44.9,14.3,20.7,9.8
1966,海南省,49.7,14.2,24.3,11.1
1965,海南省,43.9,12.7,20.5,10.7
1964,海南省,38.4,13.1,15.6,9.7
1963,海南省,33.7,11.5,13.2,9
1962,海南省,32.4,11.1,12.2,9.1
1961,海南省,34.1,10.4,13.5,10.2
1960,海南省,50.2,8.9,28.6,12.7
1959,海南省,48.3,12.4,23,12.9
1958,海南省,39.5,13.7,14.7,11.2
1957,海南省,29.2,11.5,9.4,8.2
1956,海南省,28.4,13.6,7.3,7.5
1955,海南省,23.9,12.1,5.8,6
1954,海南省,21.9,11.5,4.8,5.6
1953,海南省,19.9,11.1,3.5,5.3
1952,海南省,16,9.4,2.7,3.9
2013,宁夏回族自治区,2565.06,222.98,1264.96,1077.12
2012,宁夏回族自治区,2341.29,199.4,1159.37,982.52
2011,宁夏回族自治区,2102.21,184.14,1056.15,861.92
2010,宁夏回族自治区,1689.65,159.29,827.91,702.45
2009,宁夏回族自治区,1353.31,127.25,662.32,563.74
2008,宁夏回族自治区,1203.92,120,581.24,397.27
2007,宁夏回族自治区,919.11,97.89,451.82,339.49
2006,宁夏回族自治区,725.9,79.54,349.83,281.39
2005,宁夏回族自治区,612.61,72.08,281.23,252.79
2004,宁夏回族自治区,537.16,65.13,239.42,155.8
2003,宁夏回族自治区,445.36,55.5,192,137.84
2002,宁夏回族自治区,377.1552,52.84,151.16,125.28
2001,宁夏回族自治区,337.4447,49.57,134.37,114.44
2000,宁夏回族自治区,265.57,45.95,120.04,99.58
1999,宁夏回族自治区,241.49,48.01,102.68,90.8
1998,宁夏回族自治区,227.46,48.69,94.01,84.76
1997,宁夏回族自治区,210.92,44.82,87.65,78.45
1996,宁夏回族自治区,193.62,43.24,79.74,70.64
1995,宁夏回族自治区,169.75,35.41,74.67,65.1
1994,宁夏回族自治区,133.97,29.93,55.78,48.26
1993,宁夏回族自治区,103.82,20.84,45.61,38.04
1992,宁夏回族自治区,83.14,18.31,34.05,30.78
1991,宁夏回族自治区,71.78,17.9,27.77,26.1
1990,宁夏回族自治区,64.84,16.84,25.34,22.66
1989,宁夏回族自治区,59.21,14.8,24.39,20.02
1988,宁夏回族自治区,50.29,13.39,19.74,17.16
1987,宁夏回族自治区,39.63,10.44,15.77,13.42
1986,宁夏回族自治区,34.54,10.36,12.97,11.2
1985,宁夏回族自治区,30.27,8.9,12.12,9.25
1984,宁夏回族自治区,24.78,7.82,9.46,7.49
1983,宁夏回族自治区,20.79,6.62,7.87,6.29
1982,宁夏回族自治区,18.22,5.66,7.02,5.54
1981,宁夏回族自治区,17.42,5.47,6.97,4.97
1980,宁夏回族自治区,15.96,4.26,7.27,4.42
1979,宁夏回族自治区,14.36,3.41,7.36,3.58
1978,宁夏回族自治区,13,3.06,6.6,3.33
1977,宁夏回族自治区,12.13,2.93,6.25,2.95
1976,宁夏回族自治区,11.1,2.72,5.6,2.78
1975,宁夏回族自治区,12.06,3.35,5.9,2.81
1974,宁夏回族自治区,11.4,3.47,5.32,2.61
1973,宁夏回族自治区,8.96,2.4,4.15,2.41
1972,宁夏回族自治区,8.83,2.69,3.84,2.3
1971,宁夏回族自治区,8.12,2.7,3.35,2.07
1970,宁夏回族自治区,6.52,2.07,2.71,1.74
1969,宁夏回族自治区,5.86,2.31,2.14,1.41
1968,宁夏回族自治区,5.06,2.23,1.68,1.15
1967,宁夏回族自治区,5.47,2.62,1.63,1.22
1966,宁夏回族自治区,5.41,2.42,1.64,1.35
1965,宁夏回族自治区,4.66,2.24,1.24,1.18
1964,宁夏回族自治区,4.09,1.98,0.97,1.14
1963,宁夏回族自治区,3.96,2.06,0.85,1.05
1962,宁夏回族自治区,4.02,2.32,0.75,0.95
1961,宁夏回族自治区,4.15,2.12,0.86,1.17
1960,宁夏回族自治区,4.8,1.52,1.99,1.29
1959,宁夏回族自治区,4.36,1.82,1.34,1.2
1958,宁夏回族自治区,3.29,1.84,0.65,0.8
1957,宁夏回族自治区,2.58,1.8,0.22,0.56
1956,宁夏回族自治区,2.57,1.91,0.18,0.48
1955,宁夏回族自治区,2.24,1.71,0.17,0.36
1954,宁夏回族自治区,2.14,1.68,0.15,0.31
1953,宁夏回族自治区,1.68,1.31,0.11,0.26
1952,宁夏回族自治区,1.73,1.43,0.08,0.22
2013,陕西省,16045.21,1526.05,8911.64,5607.52
2012,陕西省,14453.68,1370.16,8073.87,5009.65
2011,陕西省,12512.3,1220.9,6935.59,4355.81
2010,陕西省,10123.48,988.45,5446.1,3688.93
2009,陕西省,8169.8,789.64,4236.42,3143.74
2008,陕西省,7314.58,753.72,3842.08,2255.52
2007,陕西省,5757.29,592.63,2964.56,1908.6
2006,陕西省,4743.61,488.48,2440.5,1594.76
2005,陕西省,3933.72,435.77,1849.28,1390.61
2004,陕西省,3175.58,394.98,1416.82,1071.71
2003,陕西省,2587.72,320.03,1133.56,944.99
2002,陕西省,2253.39,303.79,925.78,806.39
2001,陕西省,2010.62,287.24,816.34,740.69
2000,陕西省,1660.92,279.12,731.9,649.9
1999,陕西省,1487.61,267.51,641.9,578.2
1998,陕西省,1381.53,283.49,567.66,530.38
1997,陕西省,1300.03,271.52,555.86,498.66
1996,陕西省,1175.38,262.74,475.01,437.63
1995,陕西省,1000.03,217.27,441.67,377.91
1994,陕西省,816.58,181.78,336.46,298.34
1993,陕西省,671.37,148.24,297.49,232.47
1992,陕西省,540.52,116.71,232.07,182.85
1991,陕西省,468.37,116.88,197.54,153.95
1990,陕西省,404.3,105.56,166.95,131.79
1989,陕西省,358.37,91.28,158.5,108.59
1988,陕西省,314.48,82.69,138.58,93.21
1987,陕西省,244.96,67.84,108.2,68.92
1986,陕西省,208.31,58,93.48,56.83
1985,陕西省,180.87,53.39,81.96,45.52
1984,陕西省,149.35,51.05,63.12,35.18
1983,陕西省,123.39,40,55.15,28.24
1982,陕西省,111.95,37.02,50.36,24.57
1981,陕西省,102.09,35.4,46.25,20.44
1980,陕西省,94.91,28.47,47.74,18.7
1979,陕西省,94.52,32.52,44.67,17.33
1978,陕西省,81.07,24.7,42.13,14.24
1977,陕西省,69.99,24.09,33.88,12.02
1976,陕西省,62.94,23.78,27.75,11.41
1975,陕西省,64.92,23.76,29.87,11.29
1974,陕西省,62.03,23.24,27.74,11.05
1973,陕西省,59.63,22.17,26.73,10.73
1972,陕西省,57.76,20.78,27.18,9.8
1971,陕西省,57.66,22.72,25.86,9.08
1970,陕西省,46.84,18.89,20.42,7.53
1969,陕西省,40.73,17,16.01,7.72
1968,陕西省,28.11,14.84,7.03,6.24
1967,陕西省,36.84,16.85,12.23,7.76
1966,陕西省,40.47,16.59,15.97,7.91
1965,陕西省,35.93,17.51,11.78,6.64
1964,陕西省,29.34,13.33,9.44,6.57
1963,陕西省,27.36,13.09,8.12,6.15
1962,陕西省,26.85,13.35,7.3,6.2
1961,陕西省,31.64,15.61,8.38,7.65
1960,陕西省,38.3,12.59,17.17,8.54
1959,陕西省,35.58,12.73,14.93,7.92
1958,陕西省,31.02,13.48,10.83,6.71
1957,陕西省,25.58,13.17,6.06,6.35
1956,陕西省,27.14,14.92,6.52,5.7
1955,陕西省,20.58,11.43,4.85,4.3
1954,陕西省,20.04,12.34,3.73,3.97
1953,陕西省,17.44,11.03,2.84,3.57
1952,陕西省,12.85,8.4,1.92,2.53
2013,山西省,12602.24,773.81,6792.68,5035.75
2012,山西省,12112.83,698.32,6731.56,4682.95
2011,山西省,11237.55,641.42,6635.26,3960.87
2010,山西省,9200.86,554.48,5234,3412.38
2009,山西省,7358.31,477.59,3993.8,2886.92
2008,山西省,7315.4,302.48,4265.77,2370.48
2007,山西省,6024.45,269.68,3438.58,2025.09
2006,山西省,4878.61,276.77,2748.33,1727.44
2005,山西省,4230.53,262.42,2353.16,1563.94
2004,山西省,3571.37,253.37,1810.08,978.96
2003,山西省,2855.23,215.19,1389.33,852.07
2002,山西省,2324.8,197.8,1083.79,735.95
2001,山西省,2029.53,171.09,917.98,690.9
2000,山西省,1643.81,179.86,827.59,636.36
1999,山西省,1506.78,159.96,760.72,586.1
1998,山西省,1486.08,207.26,856.13,537.72
1997,山西省,1480.13,191.84,789.45,498.84
1996,山西省,1308.01,198.29,670.41,436.8
1995,山西省,1092.48,168.69,494.45,412.89
1994,山西省,853.77,123.85,440.81,289.11
1993,山西省,704.7,97.27,335.03,248.11
1992,山西省,570,82.94,270.28,197.9
1991,山西省,468.51,68.77,236.28,163.46
1990,山西省,429.27,80.81,210.07,138.39
1989,山西省,376.26,63.75,188.75,123.76
1988,山西省,316.69,48.54,163.29,104.86
1987,山西省,257.23,39.06,137.97,80.19
1986,山西省,235.11,37.9,128.25,68.96
1985,山西省,218.99,42.26,120.06,56.67
1984,山西省,197.42,46.25,103.12,48.06
1983,山西省,155.06,37.79,82.55,34.72
1982,山西省,139.22,37.33,70.25,31.64
1981,山西省,121.71,31.13,64.45,26.13
1980,山西省,108.76,20.63,63.51,24.62
1979,山西省,106.43,22.65,62.73,21.05
1978,山西省,87.99,18.2,51.47,18.32
1977,山西省,75.3,19,39.6,16.7
1976,山西省,64.6,19.1,31.3,14.2
1975,山西省,69.8,20.8,34.7,14.3
1974,山西省,64.4,19.2,30.9,14.3
1973,山西省,66.2,18.7,33.3,14.2
1972,山西省,61.6,15.7,32.2,13.7
1971,山西省,62,18.2,30.7,13.1
1970,山西省,57.7,15.2,30.3,12.2
1969,山西省,45.4,15.7,19.7,10
1968,山西省,36.8,13.7,14.2,8.9
1967,山西省,44.9,14.3,20.7,9.8
1966,山西省,49.7,14.2,24.3,11.1
1965,山西省,43.9,12.7,20.5,10.7
1964,山西省,38.4,13.1,15.6,9.7
1963,山西省,33.7,11.5,13.2,9
1962,山西省,32.4,11.1,12.2,9.1
1961,山西省,34.1,10.4,13.5,10.2
1960,山西省,50.2,8.9,28.6,12.7
1959,山西省,48.3,12.4,23,12.9
1958,山西省,39.5,13.7,14.7,11.2
1957,山西省,29.2,11.5,9.4,8.2
1956,山西省,28.4,13.6,7.3,7.5
1955,山西省,23.9,12.1,5.8,6
1954,山西省,21.9,11.5,4.8,5.6
1953,山西省,19.9,11.1,3.5,5.3
1952,山西省,16,9.4,2.7,3.9
2013,湖北省,24668.49,3098.16,12171.56,9398.77
2012,湖北省,22250.45,2848.77,11193.1,8208.58
2011,湖北省,19632.26,2569.3,9815.94,7247.02
2010,湖北省,15967.61,2147,7767.24,6053.37
2009,湖北省,12961.1,1795.9,6038.08,5127.12
2008,湖北省,11328.89,1780,4963.61,4586.77
2007,湖北省,9333.4,1378,3966.68,3886
2006,湖北省,7617.47,1140.41,3365.08,3075.83
2005,湖北省,6590.19,1082.13,2810.01,2628
2004,湖北省,5633.24,1020.09,2994.67,2295.16
2003,湖北省,4757.45,798.35,2580.58,2022.78
2002,湖北省,4212.82,707,2446.05,1822.58
2001,湖北省,3880.53,692.17,2313.66,1656.45
2000,湖北省,4276.32,662.3,2123.7,1490.32
1999,湖北省,3857.99,653.99,1887.93,1316.07
1998,湖北省,3704.21,748.22,1752.91,1203.08
1997,湖北省,3450.24,767.92,1606.98,1075.34
1996,湖北省,2970.2,716.34,1344.36,909.5
1995,湖北省,2391.42,619.77,780.18,709.43
1994,湖北省,1878.65,501.44,812.56,564.65
1993,湖北省,1424.38,346.39,537.6,441.84
1992,湖北省,1088.39,303,444.61,340.78
1991,湖北省,913.38,279.3,359.86,274.22
1990,湖北省,824.38,289.45,313.39,221.54
1989,湖北省,717.08,239.07,300.45,177.55
1988,湖北省,626.52,214.66,271.25,140.61
1987,湖北省,517.77,183.99,224.53,109.25
1986,湖北省,442.04,163.61,187.96,90.47
1985,湖北省,396.26,144.44,174.35,77.47
1984,湖北省,328.22,126.36,136.5,65.36
1983,湖北省,262.58,105.4,106.5,50.68
1982,湖北省,241.55,101.73,94.97,44.85
1981,湖北省,219.75,87,92.85,39.9
1980,湖北省,199.38,71.22,91.67,36.49
1979,湖北省,188.46,85.15,73.03,30.28
1978,湖北省,151,61.11,63.71,26.18
1977,湖北省,131.11,57.52,49.35,24.24
1976,湖北省,114.64,57.87,34.48,22.29
1975,湖北省,120.1,53.71,45.48,20.91
1974,湖北省,107.34,56.8,32.05,18.49
1973,湖北省,113.29,52.55,43.06,17.68
1972,湖北省,102.84,47.45,38.37,17.02
1971,湖北省,100.12,45.41,36.89,17.82
1970,湖北省,88.15,44.41,26.9,16.84
1969,湖北省,76.09,39.52,21.45,15.12
1968,湖北省,73.12,42.86,16.59,13.67
1967,湖北省,78.92,43.65,20.88,14.39
1966,湖北省,83.95,45.77,24.58,13.6
1965,湖北省,72.43,37.74,21.16,13.53
1964,湖北省,61.43,32.22,16.94,12.27
1963,湖北省,56.3,32.25,12.28,11.77
1962,湖北省,52.13,29.3,10.63,12.2
1961,湖北省,48.91,25.86,10.2,12.85
1960,湖北省,63.61,23.6,23.62,16.39
1959,湖北省,64.22,24.77,22.59,16.86
1958,湖北省,61.5,26.8,19.69,15.01
1957,湖北省,48.86,24.33,11.59,12.94
1956,湖北省,44.6,22.29,10.24,12.07
1955,湖北省,34.05,18.14,7.45,8.46
1954,湖北省,25.51,12.97,5.97,6.57
1953,湖北省,30.23,16.41,5.33,8.49
1952,湖北省,24.51,13.9,3.83,6.78
2013,湖南省,24501.67,3099.23,11517.35,9885.09
2012,湖南省,22154.23,3004.21,10506.42,8643.6
2011,湖南省,19669.56,2768.03,9361.99,7539.54
2010,湖南省,16037.96,2325.5,7343.19,6369.27
2009,湖南省,13059.69,1969.69,5687.19,5402.81
2008,湖南省,11555,2007.4,4933.08,4216.16
2007,湖南省,9439.6,1626.52,3916.44,3657.04
2006,湖南省,7688.67,1332.23,3151.7,3084.96
2005,湖南省,6596.1,1274.15,2596.71,2640.48
2004,湖南省,5641.94,1155.85,2214.41,2242
2003,湖南省,4659.99,886.47,1794.21,1958.05
2002,湖南省,4151.54,847.25,1737.2,1756.49
2001,湖南省,3831.9,825.73,1573,1584.27
2000,湖南省,3691.88,784.92,1461.86,1445.1
1999,湖南省,3326.75,778.25,1297.74,1250.76
1998,湖南省,3118.09,828.31,1294.17,1088.92
1997,湖南省,2993,855.75,1166.97,970.28
1996,湖南省,2647.16,793.98,1008.43,844.75
1995,湖南省,2195.7,685.3,770.67,676.16
1994,湖南省,1694.42,532.89,618.07,543.46
1993,湖南省,1278.28,383.68,470.05,390.98
1992,湖南省,997.7,323.91,341.73,321.34
1991,湖南省,833.3,301.02,285.29,246.99
1990,湖南省,744.44,279.09,252.49,212.86
1989,湖南省,640.8,234.31,240.18,166.31
1988,湖南省,584.07,217.03,222.73,144.31
1987,湖南省,469.44,187.09,173.45,108.9
1986,湖南省,397.68,165.28,144.02,88.38
1985,湖南省,349.95,147.72,127.52,74.71
1984,湖南省,287.29,128.28,104.62,54.39
1983,湖南省,257.43,117.79,93.57,46.07
1982,湖南省,232.52,107.99,82.66,41.87
1981,湖南省,209.68,93.29,77.86,38.53
1980,湖南省,191.72,81.14,77.03,33.55
1979,湖南省,178.01,79.4,68.44,30.17
1978,湖南省,146.99,59.83,59.82,27.34
1977,湖南省,129.17,55.95,49.59,23.63
1976,湖南省,118.53,55.07,41.47,21.99
1975,湖南省,118.4,54.97,41.96,21.47
1974,湖南省,108.17,53.17,34.87,20.13
1973,湖南省,115.8,51.91,43.35,20.54
1972,湖南省,107.01,47.73,39.91,19.37
1971,湖南省,99.1,46.31,35.33,17.46
1970,湖南省,93.05,44.62,31.98,16.45
1969,湖南省,81.26,44.08,21.98,15.2
1968,湖南省,75.67,44.85,17.31,13.51
1967,湖南省,73.51,40.07,19.89,13.55
1966,湖南省,72.73,37.3,22.16,13.27
1965,湖南省,65.32,34,19.17,12.15
1964,湖南省,57.36,30.41,15.6,11.35
1963,湖南省,48.08,25.11,11.37,11.6
1962,湖南省,51.19,27.17,10.59,13.43
1961,湖南省,46.64,20.78,11.69,14.17
1960,湖南省,64.07,20.58,25.47,18.02
1959,湖南省,61.95,23.6,21.57,16.78
1958,湖南省,55.85,26.65,16.63,12.57
1957,湖南省,45.2,26.41,7.45,11.34
1956,湖南省,37.93,20.56,6.57,10.8
1955,湖南省,35.83,21.13,5.76,8.94
1954,湖南省,30.51,17.03,5.13,8.35
1953,湖南省,30.29,18.48,4.28,7.53
1952,湖南省,27.81,18.72,3.43,5.66
2013,四川省,26260.77,3425.61,13579.03,9256.13
2012,四川省,23872.8,3297.21,12333.28,8242.31
2011,四川省,21026.68,2983.51,11029.13,7014.04
2010,四川省,17185.48,2482.89,8672.18,6030.41
2009,四川省,14151.28,2240.61,6711.87,5198.8
2008,四川省,12601.23,2366.15,5790.1,4350
2007,四川省,10562.39,2032,4641.3,3832
2006,四川省,8690.24,1595.48,3775.19,3267.14
2005,四川省,7385.1,1481.14,3067.23,2836.74
2004,四川省,6379.63,1394.2583,2689.9955,2471.7596
2003,四川省,5333.09,1128.61,2266.06,2061.65
2002,四川省,4725.0134,1027.62,1982.44,1865.06
2001,四川省,4293.491,981.68,1756.86,1683.22
2000,四川省,4010.25,945.58,1700.49,1364.18
1999,四川省,3711.61,941.02,1556.68,1213.91
1998,四川省,3580.26,941.24,1527.07,1111.95
1997,四川省,3320.11,919.28,1385.38,1015.45
1996,四川省,2985.15,1175,1773.41,1266.59
1995,四川省,3534,662.46,980.91,799.84
1994,四川省,2777.88,788.39,1166.22,823.27
1993,四川省,2096.48,449.38,580.38,456.32
1992,四川省,1624.51,372.04,441.57,363.66
1991,四川省,1016.31,339,376.48,300.83
1990,四川省,890.95,321.41,312.64,256.9
1989,四川省,744.98,263.15,263.44,218.39
1988,四川省,659.69,241.95,238.32,179.42
1987,四川省,530.86,202.25,187.88,140.73
1986,四川省,458.23,181.2,160.62,116.41
1985,四川省,421.15,172.9,148.11,100.14
1984,四川省,358.06,156.11,121.68,80.27
1983,四川省,311,138.17,105.69,67.14
1982,四川省,275.23,125.36,92.84,57.03
1981,四川省,242.32,108.02,83.36,50.94
1980,四川省,229.31,101.68,81.05,46.58
1979,四川省,205.76,91.95,72.31,41.5
1978,四川省,184.61,82.2,65.55,36.86
1977,四川省,162.85,69.77,61.16,31.94
1976,四川省,140.89,56.12,54.69,30.08
1975,四川省,136.94,58.97,48.95,29.02
1974,四川省,130.75,61.15,42.46,27.14
1973,四川省,122.94,60.18,37.24,25.52
1972,四川省,108.17,54.63,31.07,22.46
1971,四川省,106.94,56.09,29.51,21.34
1970,四川省,102.32,55.03,26.91,20.38
1969,四川省,87.21,50.47,17.08,19.66
1968,四川省,76.96,49.66,8.51,18.79
1967,四川省,89.28,54.94,15.98,18.36
1966,四川省,96.25,55.83,22.83,17.6
