Sgnyea,Prvcnm,Gdp,Gdp1,Gdp2,Gdp3
1978,青海省,15.54,3.67,7.71,4.16
1977,青海省,13.13,3.84,5.88,3.41
1976,青海省,12.24,4.57,4.56,3.11
1975,青海省,12.42,4.64,4.76,3.02
1974,青海省,11.76,4.66,4.31,2.79
1973,青海省,11.08,4.35,4.11,2.62
1972,青海省,10.34,4.11,3.71,2.52
1971,青海省,9.32,3.63,3.4,2.29
1970,青海省,8.45,3.36,2.79,2
1969,青海省,7.03,3.35,1.79,1.89
1968,青海省,6.35,2.98,1.56,1.81
1967,青海省,6.95,3.65,1.57,1.73
1966,青海省,6.42,3.12,1.64,1.66
1965,青海省,6.14,3.36,1.28,1.5
1964,青海省,5.57,3.12,1.04,1.41
1963,青海省,4.86,2.66,0.85,1.35
1962,青海省,4.59,2.17,0.82,1.6
1961,青海省,5.4,2.12,1.24,2.04
1960,青海省,7.68,1.89,3.22,2.57
1959,青海省,6.94,1.93,3.03,1.98
1958,青海省,4.87,1.9,1.59,1.38
1957,青海省,3.95,2.13,0.78,1.04
1956,青海省,3.81,1.9,1,0.91
1955,青海省,2.93,1.84,0.51,0.58
1954,青海省,2.35,1.67,0.24,0.44
1953,青海省,1.74,1.24,0.2,0.3
1952,青海省,1.63,1.2,0.12,0.31
2013,广西壮族自治区,14378,2343.57,6863.04,5171.39
2012,广西壮族自治区,13035.1,2172.37,6247.43,4615.3
2011,广西壮族自治区,11720.87,2047.23,5675.32,3998.33
2010,广西壮族自治区,9569.85,1675.06,4511.68,3383.11
2009,广西壮族自治区,7759.16,1458.49,3381.54,2919.13
2008,广西壮族自治区,7021,1453.9,3037.74,2679.94
2007,广西壮族自治区,5823.41,1241.35,2425.29,2289
2006,广西壮族自治区,4746.16,1032.47,1878.56,1917.47
2005,广西壮族自治区,3984.1,912.5,1510.68,1652.57
2004,广西壮族自治区,3433.5,811.38,1288.26,1220.46
2003,广西壮族自治区,2821.11,652.28,1007.96,1074.89
2002,广西壮族自治区,2523.73,595.68,863.96,995.72
2001,广西壮族自治区,2279.34,562.52,791.85,876.82
2000,广西壮族自治区,2050.14,538.69,748,763.45
1999,广西壮族自治区,1953.27,554.48,695.83,702.96
1998,广西壮族自治区,1903.04,574.25,678.19,650.6
1997,广西壮族自治区,1817.25,631.62,759.54,624.04
1996,广西壮族自治区,1697.9,580.47,710.13,579.02
1995,广西壮族自治区,1497.56,449.64,535.86,512.06
1994,广西壮族自治区,1241.83,357.74,485.57,398.52
1993,广西壮族自治区,893.58,245.6,321.1,305
1992,广西壮族自治区,646.6,233.03,187.48,226.09
1991,广西壮族自治区,518.59,195.17,141.02,182.4
1990,广西壮族自治区,449.06,176.77,118.45,153.84
1989,广西壮族自治区,383.44,149.98,109.97,123.49
1988,广西壮族自治区,313.28,118.25,100.69,94.34
1987,广西壮族自治区,241.56,99.94,81.79,59.83
1986,广西壮族自治区,205.46,85.62,69.03,50.81
